 (-0.160547,-0.00140025)
  (-0.160827,-0.0014055)
 (-0.161109,-0.00141079)
  (-0.161392,-0.0014161)
 (-0.161675,-0.00142145)
  (-0.16196,-0.00142684)
 (-0.162246,-0.00143225)
  (-0.162533,-0.0014377)
 (-0.162821,-0.00144317)
  (-0.16311,-0.00144869)
   (-0.1634,-0.00145423)
 (-0.163692,-0.00145981)
 (-0.163984,-0.00146543)
 (-0.164278,-0.00147107)
 (-0.164572,-0.00147676)
 (-0.164868,-0.00148248)
 (-0.165165,-0.00148823)
 (-0.165463,-0.00149402)
 (-0.165763,-0.00149984)
  (-0.166063,-0.0015057)
  (-0.166365,-0.0015116)
 (-0.166668,-0.00151753)
  (-0.166972,-0.0015235)
 (-0.167277,-0.00152951)
 (-0.167584,-0.00153555)
 (-0.167891,-0.00154164)
   (-0.1682,-0.00154776)
  (-0.16851,-0.00155392)
 (-0.168821,-0.00156012)
 (-0.169134,-0.00156636)
 (-0.169448,-0.00157264)
 (-0.169763,-0.00157895)
 (-0.170079,-0.00158531)
 (-0.170397,-0.00159171)
 (-0.170716,-0.00159815)
 (-0.171036,-0.00160464)
 (-0.171358,-0.00161116)
  (-0.17168,-0.00161773)
 (-0.172005,-0.00162434)
  (-0.17233,-0.00163099)
 (-0.172657,-0.00163769)
 (-0.172985,-0.00164443)
 (-0.173314,-0.00165121)
 (-0.173645,-0.00165804)
 (-0.173978,-0.00166491)
 (-0.174311,-0.00167183)
  (-0.174646,-0.0016788)
 (-0.174982,-0.00168581)
  (-0.17532,-0.00169287)
 (-0.175659,-0.00169997)
    (-0.176,-0.00170712)
 (-0.176342,-0.00171432)
 (-0.176686,-0.00172157)
 (-0.177031,-0.00172887)
 (-0.177377,-0.00173622)
 (-0.177725,-0.00174362)
 (-0.178074,-0.00175107)
 (-0.178425,-0.00175857)
 (-0.178778,-0.00176612)
 (-0.179131,-0.00177372)
 (-0.179487,-0.00178137)
 (-0.179844,-0.00178908)
 (-0.180202,-0.00179684)
