 (-0.12115,-0.000764296)
(-0.121303,-0.000766304)
 (-0.121456,-0.00076832)
 (-0.12161,-0.000770344)
(-0.121764,-0.000772377)
(-0.121919,-0.000774418)
(-0.122074,-0.000776468)
(-0.122229,-0.000778526)
(-0.122385,-0.000780593)
(-0.122542,-0.000782668)
(-0.122698,-0.000784751)
(-0.122855,-0.000786843)
(-0.123013,-0.000788944)
(-0.123171,-0.000791054)
(-0.123329,-0.000793173)
  (-0.123488,-0.0007953)
(-0.123648,-0.000797436)
(-0.123807,-0.000799581)
(-0.123967,-0.000801735)
(-0.124128,-0.000803898)
 (-0.124289,-0.00080607)
 (-0.12445,-0.000808252)
(-0.124612,-0.000810442)
(-0.124774,-0.000812642)
(-0.124937,-0.000814851)
   (-0.1251,-0.00081707)
(-0.125264,-0.000819298)
(-0.125428,-0.000821535)
(-0.125593,-0.000823782)
(-0.125758,-0.000826038)
(-0.125923,-0.000828304)
 (-0.126089,-0.00083058)
(-0.126255,-0.000832866)
(-0.126422,-0.000835161)
(-0.126589,-0.000837466)
(-0.126757,-0.000839781)
(-0.126925,-0.000842106)
(-0.127094,-0.000844441)
(-0.127263,-0.000846787)
(-0.127432,-0.000849142)
(-0.127602,-0.000851508)
(-0.127773,-0.000853884)
 (-0.127944,-0.00085627)
(-0.128115,-0.000858666)
(-0.128287,-0.000861074)
 (-0.12846,-0.000863491)
(-0.128633,-0.000865919)
(-0.128806,-0.000868358)
 (-0.12898,-0.000870808)
(-0.129154,-0.000873268)
 (-0.129329,-0.00087574)
(-0.129505,-0.000878222)
(-0.129681,-0.000880715)
(-0.129857,-0.000883219)
(-0.130034,-0.000885735)
(-0.130211,-0.000888261)
(-0.130389,-0.000890799)
(-0.130567,-0.000893348)
(-0.130746,-0.000895909)
(-0.130926,-0.000898481)
(-0.131106,-0.000901064)
(-0.131286,-0.000903659)
(-0.131467,-0.000906266)
(-0.131649,-0.000908885)
(-0.131831,-0.000911515)
(-0.132013,-0.000914158)
(-0.132196,-0.000916812)
 (-0.13238,-0.000919478)
(-0.132564,-0.000922157)
(-0.132749,-0.000924848)
(-0.132934,-0.000927551)
 (-0.13312,-0.000930266)
(-0.133306,-0.000932994)
(-0.133493,-0.000935734)
 (-0.13368,-0.000938487)
(-0.133868,-0.000941252)
(-0.134057,-0.000944031)
(-0.134246,-0.000946822)
(-0.134435,-0.000949626)
(-0.134626,-0.000952443)
(-0.134816,-0.000955273)
(-0.135008,-0.000958117)
  (-0.1352,-0.000960973)
(-0.135392,-0.000963843)
(-0.135585,-0.000966727)
(-0.135779,-0.000969623)
(-0.135973,-0.000972534)
(-0.136168,-0.000975458)
(-0.136363,-0.000978396)
(-0.136559,-0.000981348)
(-0.136755,-0.000984314)
(-0.136953,-0.000987293)
 (-0.13715,-0.000990287)
(-0.137349,-0.000993296)
(-0.137548,-0.000996318)
(-0.137747,-0.000999355)
 (-0.137947,-0.00100241)
 (-0.138148,-0.00100547)
 (-0.138349,-0.00100855)
 (-0.138551,-0.00101165)
 (-0.138754,-0.00101476)
 (-0.138957,-0.00101789)
 (-0.139161,-0.00102103)
 (-0.139366,-0.00102418)
 (-0.139571,-0.00102735)
 (-0.139777,-0.00103054)
 (-0.139983,-0.00103374)
  (-0.14019,-0.00103696)
 (-0.140398,-0.00104019)
 (-0.140606,-0.00104344)
 (-0.140815,-0.00104671)
 (-0.141025,-0.00104999)
 (-0.141235,-0.00105329)
  (-0.141446,-0.0010566)
 (-0.141658,-0.00105993)
  (-0.14187,-0.00106328)
 (-0.142083,-0.00106664)
 (-0.142296,-0.00107002)
 (-0.142511,-0.00107342)
 (-0.142726,-0.00107683)
 (-0.142941,-0.00108026)
 (-0.143158,-0.00108371)
 (-0.143375,-0.00108717)
 (-0.143593,-0.00109066)
 (-0.143811,-0.00109416)
